,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
39,28-Feb-2011,5330.15,5477.0,5308.6,5333.25,317245759,10276.18
40,01-Mar-2011,5382.0,5533.05,5373.55,5522.3,210498269,7411.09
41,03-Mar-2011,5478.45,5570.75,5468.25,5536.2,218804792,8848.97
42,04-Mar-2011,5586.2,5608.2,5524.1,5538.75,162006860,6522.01
43,07-Mar-2011,5490.05,5491.25,5408.45,5463.15,134581629,5145.87
44,08-Mar-2011,5466.1,5530.55,5464.75,5520.8,127506672,5176.59
45,09-Mar-2011,5542.4,5563.3,5477.45,5531.0,149822867,5595.45
46,10-Mar-2011,5516.1,5516.3,5468.45,5494.4,135730117,4854.41
47,11-Mar-2011,5456.15,5502.7,5411.55,5445.45,133441964,5586.59
48,14-Mar-2011,5436.5,5537.3,5434.25,5531.5,173521756,5310.24
49,15-Mar-2011,5420.0,5497.85,5373.65,5449.65,191037598,7745.78
50,16-Mar-2011,5475.95,5535.1,5475.95,5511.15,135196748,5724.84
51,17-Mar-2011,5455.4,5510.05,5435.3,5446.65,135255698,5962.69
52,18-Mar-2011,5475.35,5483.05,5366.4,5373.7,129492420,5729.27
53,21-Mar-2011,5408.75,5413.3,5348.2,5364.75,107174731,4222.09
54,22-Mar-2011,5390.85,5428.15,5376.15,5413.85,94938100,3978.8
55,23-Mar-2011,5411.4,5484.95,5401.95,5480.25,112036402,4852.75
56,24-Mar-2011,5501.8,5529.0,5496.1,5522.4,115262055,4766.56
57,25-Mar-2011,5588.65,5667.1,5560.95,5654.25,133451382,6457.47
58,28-Mar-2011,5645.25,5709.1,5643.2,5687.25,130717964,6675.09
59,29-Mar-2011,5686.5,5770.35,5680.7,5736.35,140479340,6737.62
60,30-Mar-2011,5755.8,5803.15,5753.9,5787.65,133208726,6161.99
61,31-Mar-2011,5803.05,5872.0,5778.65,5833.75,219441114,11741.25
62,01-Apr-2011,5835.0,5860.2,5810.4,5826.05,118321855,5698.58
63,04-Apr-2011,5842.0,5918.7,5833.2,5908.45,106392427,5424.67
64,05-Apr-2011,5923.85,5928.65,5855.85,5910.05,110625437,5386.96
